nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
       215, 2.099999885E+00,-2.346499969E-08, 9.499999862E-02, 1.926776925E+00
       216, 3.000000046E+00,-2.346500024E-08, 9.499999933E-02, 2.004113674E+00
       217,-1.500000037E-01,-2.346499994E-08, 1.024999986E-01, 2.159349170E+00
       218, 3.000000109E-01,-2.346500037E-08, 1.025000000E-01, 7.335226887E-01
       219, 4.499999767E-01,-2.346500001E-08, 1.024999985E-01, 8.823098267E-01
       220, 7.499999865E-01,-2.346500001E-08, 1.024999985E-01, 1.291883259E+00
       221, 1.049999957E+00,-2.346499841E-08, 1.024999985E-01, 1.584803642E+00
       222, 1.499999992E+00,-2.346499976E-08, 1.024999985E-01, 1.813457448E+00
       223, 2.099999885E+00,-2.346499971E-08, 1.024999985E-01, 1.943791929E+00
       224, 3.000000046E+00,-2.346500021E-08, 1.024999993E-01, 2.027805988E+00
       225,-1.500000037E-01,-2.346499994E-08, 1.099999985E-01, 2.180443404E+00
       226, 3.000000109E-01,-2.346500037E-08, 1.100000000E-01, 6.773131700E-01
       227, 4.499999767E-01,-2.346500001E-08, 1.099999984E-01, 8.401436569E-01
       228, 7.499999652E-01,-2.346499931E-08, 1.099999951E-01, 1.262709391E+00
       229, 1.049999957E+00,-2.346499856E-08, 1.099999984E-01, 1.571752988E+00
       230, 1.499999992E+00,-2.346499978E-08, 1.099999984E-01, 1.817702358E+00
       231, 2.099999885E+00,-2.346499974E-08, 1.099999984E-01, 1.960023874E+00
       232, 3.000000046E+00,-2.346500023E-08, 1.099999992E-01, 2.050217928E+00
       233,-1.500000037E-01,-2.346499993E-08, 1.174999984E-01, 2.200241874E+00
       234, 3.000000109E-01,-2.346500037E-08, 1.175000000E-01, 6.433127074E-01
       235, 4.499999767E-01,-2.346500001E-08, 1.174999983E-01, 8.127220766E-01
       236, 7.499999652E-01,-2.346499931E-08, 1.174999948E-01, 1.243445600E+00
       237, 1.049999957E+00,-2.346499866E-08, 1.174999983E-01, 1.564264708E+00
       238, 1.499999992E+00,-2.346499979E-08, 1.174999983E-01, 1.823946017E+00
       239, 2.099999885E+00,-2.346499977E-08, 1.174999983E-01, 1.976213214E+00
       240, 3.000000046E+00,-2.346500021E-08, 1.174999992E-01, 2.071803772E+00
       241,-1.500000037E-01,-2.346499994E-08, 1.249999983E-01, 2.218967070E+00
       242, 3.000000109E-01,-2.346500036E-08, 1.250000000E-01, 6.310520689E-01
       243, 4.499999767E-01,-2.346500000E-08, 1.249999982E-01, 8.014350879E-01
       244, 7.499999865E-01,-2.346500000E-08, 1.249999982E-01, 1.235861899E+00
       245, 1.049999957E+00,-2.346499879E-08, 1.249999982E-01, 1.563846754E+00
       246, 1.499999992E+00,-2.346499981E-08, 1.249999982E-01, 1.833208528E+00
       247, 2.099999885E+00,-2.346499978E-08, 1.249999982E-01, 1.993050145E+00
       248, 3.000000046E+00,-2.346500021E-08, 1.249999991E-01, 2.092978499E+00
       249,-1.500000037E-01,-2.346499992E-08, 1.324999982E-01, 2.236803095E+00
       250, 3.000000109E-01,-2.346500036E-08, 1.325000001E-01, 6.384410041E-01
       251, 4.499999767E-01,-2.346500000E-08, 1.324999981E-01, 8.069942140E-01
       252, 7.499999865E-01,-2.346500000E-08, 1.324999981E-01, 1.241047772E+00
       253, 1.049999957E+00,-2.346499891E-08, 1.324999981E-01, 1.571703245E+00
       254, 1.499999992E+00,-2.346499982E-08, 1.324999981E-01, 1.846297389E+00
       255, 2.099999885E+00,-2.346499981E-08, 1.324999981E-01, 2.011147346E+00
       256, 3.000000046E+00,-2.346500021E-08, 1.324999991E-01, 2.114099551E+00
       257,-1.500000037E-01,-2.346499992E-08, 1.399999981E-01, 2.253901529E+00
       258, 3.000000109E-01,-2.346500036E-08, 1.400000001E-01, 6.650068147E-01
       259, 4.499999767E-01,-2.346500000E-08, 1.399999980E-01, 8.288169101E-01
       260, 7.499999865E-01,-2.346500000E-08, 1.399999980E-01, 1.259269305E+00
       261, 1.049999957E+00,-2.346499903E-08, 1.399999980E-01, 1.588524643E+00
       262, 1.499999992E+00,-2.346499985E-08, 1.399999980E-01, 1.863841203E+00
       263, 2.099999885E+00,-2.346499982E-08, 1.399999980E-01, 2.031004663E+00
       264, 3.000000046E+00,-2.346500020E-08, 1.399999990E-01, 2.135445844E+00
       265,-1.500000037E-01,-2.346499991E-08, 1.474999980E-01, 2.270385474E+00
       266, 3.000000109E-01,-2.346500036E-08, 1.475000001E-01, 7.100875692E-01
       267, 4.499999767E-01,-2.346500000E-08, 1.474999979E-01, 8.653205921E-01
