nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,turb-kinetic-energy
       270, 1.499999992E+00,-2.346499986E-08, 1.474999979E-01, 9.990194102E-02
       271, 2.099999885E+00,-2.346499984E-08, 1.474999979E-01, 7.607088365E-02
       272, 3.000000046E+00,-2.346500019E-08, 1.474999990E-01, 5.899437988E-02
       273,-1.500000037E-01,-2.346499991E-08, 1.549999979E-01, 2.009754781E-02
       274, 3.000000109E-01,-2.346500034E-08, 1.550000001E-01, 8.499159221E-02
       275, 4.499999767E-01,-2.346500000E-08, 1.549999978E-01, 1.195198996E-01
       276, 7.499999865E-01,-2.346500000E-08, 1.549999978E-01, 1.440084630E-01
       277, 1.049999957E+00,-2.346499928E-08, 1.549999978E-01, 1.314007682E-01
       278, 1.499999992E+00,-2.346499989E-08, 1.549999978E-01, 1.030686536E-01
       279, 2.099999885E+00,-2.346499986E-08, 1.549999978E-01, 7.756022815E-02
       280, 3.000000024E+00,-2.346500002E-08, 1.549999978E-01, 5.919289826E-02
       281,-1.500000037E-01,-2.346499991E-08, 1.624999978E-01, 1.937686464E-02
       282, 3.000000109E-01,-2.346500034E-08, 1.625000001E-01, 8.957275199E-02
       283, 4.499999767E-01,-2.346500000E-08, 1.624999976E-01, 1.259741006E-01
       284, 7.499999865E-01,-2.346500000E-08, 1.624999976E-01, 1.502306862E-01
       285, 1.049999957E+00,-2.346499940E-08, 1.624999976E-01, 1.360653182E-01
       286, 1.499999992E+00,-2.346499990E-08, 1.624999976E-01, 1.058541819E-01
       287, 2.099999885E+00,-2.346499989E-08, 1.624999976E-01, 7.877635893E-02
       288, 3.000000046E+00,-2.346500019E-08, 1.624999989E-01, 5.925330658E-02
       289,-1.500000037E-01,-2.346499990E-08, 1.699999977E-01, 1.867513485E-02
       290, 3.000000109E-01,-2.346500034E-08, 1.700000001E-01, 9.431152880E-02
       291, 4.499999767E-01,-2.346500000E-08, 1.699999975E-01, 1.325247007E-01
       292, 7.499999865E-01,-2.346500000E-08, 1.699999975E-01, 1.560068795E-01
       293, 1.049999957E+00,-2.346499952E-08, 1.699999975E-01, 1.400856921E-01
       294, 1.499999992E+00,-2.346499993E-08, 1.699999975E-01, 1.080671351E-01
       295, 2.099999885E+00,-2.346499992E-08, 1.699999975E-01, 7.963381308E-02
       296, 3.000000046E+00,-2.346500019E-08, 1.699999988E-01, 5.914767564E-02
       297,-1.500000037E-01,-2.346499989E-08, 1.774999976E-01, 1.799236783E-02
       298, 3.000000109E-01,-2.346500034E-08, 1.775000001E-01, 9.916171638E-02
       299, 4.499999767E-01,-2.346500000E-08, 1.774999974E-01, 1.386759530E-01
       300, 7.499999865E-01,-2.346500000E-08, 1.774999974E-01, 1.607229602E-01
       301, 1.049999957E+00,-2.346499961E-08, 1.774999974E-01, 1.430569014E-01
       302, 1.499999992E+00,-2.346499994E-08, 1.774999974E-01, 1.095178241E-01
       303, 2.099999885E+00,-2.346499993E-08, 1.774999974E-01, 8.005682306E-02
       304, 3.000000046E+00,-2.346500018E-08, 1.774999987E-01, 5.885397983E-02
       305,-1.500000037E-01,-2.346499988E-08, 1.849999975E-01, 1.732987118E-02
       306, 3.000000109E-01,-2.346500034E-08, 1.850000001E-01, 1.038903739E-01
