nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
       220, 4.499999767E-01, 1.294626410E-01, 1.249999982E-01, 2.313665213E+00
       221, 7.499999865E-01, 1.294626410E-01, 1.249999982E-01, 2.214429263E+00
       222, 1.499999992E+00, 1.294626410E-01, 1.249999982E-01, 2.122328627E+00
       223, 2.249999948E+00, 1.294626410E-01, 1.249999982E-01, 2.134195309E+00
       224, 3.000000024E+00, 1.294626410E-01, 1.249999982E-01, 2.160193855E+00
       225, 1.500000119E-01, 1.450824415E-01, 1.249999987E-01, 2.401394954E+00
       226, 3.000000109E-01, 1.450824431E-01, 1.250000000E-01, 2.389686122E+00
       227, 4.499999767E-01, 1.450824409E-01, 1.249999982E-01, 2.358741731E+00
       228, 7.499999865E-01, 1.450824409E-01, 1.249999982E-01, 2.281649692E+00
       229, 1.499999992E+00, 1.450824409E-01, 1.249999982E-01, 2.166271805E+00
       230, 2.249999948E+00, 1.450824409E-01, 1.249999982E-01, 2.156308799E+00
       231, 3.000000024E+00, 1.450824409E-01, 1.249999982E-01, 2.172782842E+00
       232, 1.500000119E-01, 1.615969940E-01, 1.249999987E-01, 2.388845369E+00
       233, 3.000000109E-01, 1.615969958E-01, 1.250000000E-01, 2.388127439E+00
       234, 4.499999767E-01, 1.615969934E-01, 1.249999982E-01, 2.370516638E+00
       235, 7.499999865E-01, 1.615969934E-01, 1.249999982E-01, 2.319990458E+00
       236, 1.499999992E+00, 1.615969934E-01, 1.249999982E-01, 2.209309842E+00
       237, 2.249999948E+00, 1.615969934E-01, 1.249999982E-01, 2.180964480E+00
       238, 3.000000024E+00, 1.615969934E-01, 1.249999982E-01, 2.187305237E+00
       239, 1.500000119E-01, 1.790575534E-01, 1.249999987E-01, 2.380739581E+00
       240, 3.000000109E-01, 1.790575554E-01, 1.250000000E-01, 2.383110175E+00
       241, 4.499999767E-01, 1.790575527E-01, 1.249999982E-01, 2.371938617E+00
       242, 7.499999865E-01, 1.790575527E-01, 1.249999982E-01, 2.339853019E+00
       243, 1.499999992E+00, 1.790575527E-01, 1.249999982E-01, 2.249635481E+00
       244, 2.249999948E+00, 1.790575527E-01, 1.249999982E-01, 2.208168699E+00
       245, 3.000000024E+00, 1.790575527E-01, 1.249999982E-01, 2.204130482E+00
       246, 1.500000119E-01, 1.975183099E-01, 1.249999987E-01, 2.375089766E+00
       247, 3.000000109E-01, 1.975183121E-01, 1.250000000E-01, 2.380040826E+00
       248, 4.499999767E-01, 1.975183092E-01, 1.249999982E-01, 2.371423329E+00
       249, 7.499999865E-01, 1.975183092E-01, 1.249999982E-01, 2.349256027E+00
       250, 1.499999992E+00, 1.975183092E-01, 1.249999982E-01, 2.284438281E+00
       251, 2.249999948E+00, 1.975183092E-01, 1.249999982E-01, 2.237222880E+00
       252, 3.000000024E+00, 1.975183092E-01, 1.249999982E-01, 2.223428722E+00
       253, 1.500000119E-01, 2.170365581E-01, 1.249999987E-01, 2.370238881E+00
       254, 3.000000109E-01, 2.170365605E-01, 1.250000000E-01, 2.377906668E+00
       255, 4.499999767E-01, 2.170365573E-01, 1.249999982E-01, 2.371171068E+00
       256, 7.499999865E-01, 2.170365573E-01, 1.249999982E-01, 2.353205149E+00
       257, 1.499999992E+00, 2.170365573E-01, 1.249999982E-01, 2.310879099E+00
       258, 2.249999948E+00, 2.170365573E-01, 1.249999982E-01, 2.266274466E+00
       259, 3.000000024E+00, 2.170365573E-01, 1.249999982E-01, 2.244852431E+00
       260, 1.500000119E-01, 2.376728746E-01, 1.249999987E-01, 2.366170760E+00
       261, 3.000000109E-01, 2.376728772E-01, 1.250000000E-01, 2.375867319E+00
       262, 4.499999767E-01, 2.376728737E-01, 1.249999982E-01, 2.370839744E+00
       263, 7.499999865E-01, 2.376728737E-01, 1.249999982E-01, 2.354779763E+00
       264, 1.499999992E+00, 2.376728737E-01, 1.249999982E-01, 2.327728683E+00
       265, 2.249999948E+00, 2.376728737E-01, 1.249999982E-01, 2.292397113E+00
       266, 3.000000024E+00, 2.376728737E-01, 1.249999982E-01, 2.267237281E+00
       267, 1.500000119E-01, 2.594913058E-01, 1.249999987E-01, 2.362923425E+00
       268, 3.000000109E-01, 2.594913087E-01, 1.250000000E-01, 2.374029044E+00
       269, 4.499999767E-01, 2.594913048E-01, 1.249999982E-01, 2.370369055E+00
       270, 7.499999865E-01, 2.594913048E-01, 1.249999982E-01, 2.355435145E+00
       271, 1.499999992E+00, 2.594913048E-01, 1.249999982E-01, 2.336197831E+00
       272, 2.249999948E+00, 2.594913048E-01, 1.249999982E-01, 2.312541181E+00
       273, 3.000000024E+00, 2.594913048E-01, 1.249999982E-01, 2.288554877E+00
       274, 1.500000119E-01, 2.825595671E-01, 1.249999987E-01, 2.360438625E+00
       275, 3.000000109E-01, 2.825595703E-01, 1.250000000E-01, 2.372530545E+00
       276, 4.499999767E-01, 2.825595661E-01, 1.249999982E-01, 2.369937468E+00
       277, 7.499999865E-01, 2.825595661E-01, 1.249999982E-01, 2.355751878E+00
       278, 1.499999992E+00, 2.825595661E-01, 1.249999982E-01, 2.339337098E+00
       279, 2.249999948E+00, 2.825595661E-01, 1.249999982E-01, 2.325365612E+00
       280, 3.000000024E+00, 2.825595661E-01, 1.249999982E-01, 2.306313128E+00
       281, 1.500000119E-01, 3.069492529E-01, 1.249999987E-01, 2.358663571E+00
       282, 3.000000109E-01, 3.069492563E-01, 1.250000000E-01, 2.371411676E+00
       283, 4.499999767E-01, 3.069492518E-01, 1.249999982E-01, 2.369621518E+00
